updateTime,平台i,门店ID,平台门店名称,日期,cpc单次点击费用,cpc总费用,cpc曝光量,cpc访问量,gmvroi,下单转换率,单均gmv,单均实收,实收roi,无效订单,有效订单,自增主键,自然曝光量,自然访问量,门店下单量,门店实收,门店曝光量,门店营业额,门店访问量
2020/4/16 14:30,美团,8491999,蛙小辣火锅杯（宝山店）,2020/4/15,1.36,99.51,1375,73,6.56,0.16,57.63,20.58,2.34,0,18,3004068,396,43,18,370.49,1771,1037.31,116
2020/4/18 14:19,饿了么,2001104355,蛙小辣·美蛙火锅杯麻辣烫(宝山店),2020/4/15,1.18,41.32,466,35,13.43,0.24,67,24.43,4.89,0,23,3004344,795,58,22,561.83,1261,1541.06,93
2020/4/16 14:30,饿了么,2000507076,蛙小辣·美蛙火锅杯(五角场店),2020/4/15,1.19,34.48,317,29,18.11,0.3,72.12,26.32,6.61,0,20,3005009,538,38,20,526.43,855,1442.36,67
2020/4/18 14:23,饿了么,2001104355,蛙小辣·美蛙火锅杯麻辣烫(宝山店),2020/4/16,1.3,61.26,788,47,10.67,0.23,59.89,18.13,3.23,0,23,3018116,642,52,23,416.93,1430,1377.46,99
2020/4/17 14:34,美团,8491999,蛙小辣火锅杯（宝山店）,2020/4/16,1.41,90,960,64,7.31,0.17,59.53,20.64,2.54,0,19,3018525,508,46,19,392.18,1468,1131.13,110
2020/4/17 14:34,饿了么,2000507076,蛙小辣·美蛙火锅杯(五角场店),2020/4/16,1.44,45.99,433,32,8.96,0.2,65.46,23.71,3.24,0,14,3019434,447,29,12,331.88,880,916.39,61
2020/4/18 14:27,美团,8491999,蛙小辣火锅杯（宝山店）,2020/4/17,1.36,90,1017,66,12.73,0.23,73.94,27.68,4.77,0,27,3031702,424,49,27,747.4,1441,1996.39,115
2020/4/18 14:27,饿了么,2001104355,蛙小辣·美蛙火锅杯麻辣烫(宝山店),2020/4/17,1.18,70.8,1059,60,8.78,0.15,69.56,27.57,3.48,0,15,3031981,303,34,14,413.5,1362,1043.35,94
2020/4/24 14:02,饿了么,2000507076,蛙小辣·美蛙火锅杯麻辣烫(五角场店),2020/4/17,1.33,37.37,471,28,12.08,0.27,60.26,19.55,3.92,0,19,3032708,370,43,19,371.39,841,1144.91,71
2020/4/19 14:30,饿了么,2001104355,蛙小辣·美蛙火锅杯麻辣烫(宝山店),2020/4/18,1.38,31.7,372,23,15.77,0.33,65.22,21.94,5.31,0,20,3046232,514,37,20,438.84,886,1304.34,60
2020/4/19 14:30,美团,8491999,蛙小辣火锅杯（宝山店）,2020/4/18,1.4,75.77,1259,54,7.68,0.17,63.02,21.86,2.66,0,20,3047247,613,63,20,437.25,1872,1260.33,117
2020/4/24 14:05,饿了么,2000507076,蛙小辣·美蛙火锅杯麻辣烫(五角场店),2020/4/18,1.03,17.49,202,17,22.32,0.33,68.89,24.04,7.79,0,16,3047467,369,31,16,384.58,571,1102.18,48
2020/4/24 14:08,饿了么,2000507076,蛙小辣·美蛙火锅杯麻辣烫(五角场店),2020/4/19,1.22,47.44,553,39,13.54,0.24,69.74,24.75,4.8,0,18,3060980,222,33,17,445.42,775,1255.31,72
2020/4/20 14:37,美团,8491999,蛙小辣火锅杯（宝山店）,2020/4/19,1.5,90,1113,60,6.3,0.15,62.66,22.41,2.25,0,19,3061357,494,66,19,425.75,1607,1190.6,126
2020/4/20 14:37,饿了么,2001104355,蛙小辣·美蛙火锅杯麻辣烫(宝山店),2020/4/19,1.29,71.2,739,55,7.57,0.14,67.93,23.45,2.61,0,15,3061576,407,49,15,351.68,1146,1018.93,104
2020/4/21 14:34,美团,8184590,蛙小辣火锅杯（五角场店）,2020/4/20,2.06,32.92,350,16,4.69,0.18,53.06,15.07,1.33,1,13,3074241,1162,50,12,195.95,1512,689.82,66
2020/4/24 14:12,饿了么,2000507076,蛙小辣·美蛙火锅杯麻辣烫(五角场店),2020/4/20,1.29,36.06,252,28,15.31,0.28,71.3,25.5,5.48,0,14,3074509,267,19,13,357.04,519,998.14,47
2020/4/21 14:34,美团,8491999,蛙小辣火锅杯（宝山店）,2020/4/20,1.4,68.45,759,49,7.39,0.17,61.91,20.44,2.44,0,18,3075668,485,53,17,367.95,1244,1114.41,102
2020/4/21 14:34,饿了么,2001104355,蛙小辣·美蛙火锅杯麻辣烫(宝山店),2020/4/20,1.32,25,284,19,15.34,0.29,69.05,22.87,5.08,0,20,3075924,373,46,19,457.35,657,1381.03,65
2020/4/22 14:30,美团,8491999,蛙小辣火锅杯（宝山店）,2020/4/21,1.39,79.37,917,57,11.28,0.24,65.61,22.19,3.81,0,30,3088850,1099,60,28,665.67,2016,1968.36,117
2020/4/24 14:20,饿了么,2000507076,蛙小辣·美蛙火锅杯麻辣烫(五角场店),2020/4/21,1.34,22.7,281,17,13.98,0.28,67.39,23.37,4.85,0,18,3089114,380,48,18,420.58,661,1213,65
2020/4/22 14:30,饿了么,2001104355,蛙小辣·美蛙火锅杯麻辣烫(宝山店),2020/4/21,1.26,39.1,526,31,15.05,0.28,68.93,23.84,5.21,0,19,3089145,266,38,19,453,792,1309.72,69
2020/4/22 14:30,美团,8184590,蛙小辣火锅杯（五角场店）,2020/4/21,1.31,17.03,176,13,6.06,0.15,52.93,15.22,1.74,0,9,3089572,1297,47,9,137.02,1473,476.4,60
2020/4/23 14:34,饿了么,2001104355,蛙小辣·美蛙火锅杯麻辣烫(宝山店),2020/4/22,1.27,51.96,640,41,15.14,0.32,60.05,19.02,4.8,1,23,3103691,190,31,23,437.57,830,1381.09,72
2020/4/23 14:34,美团,8491999,蛙小辣火锅杯（宝山店）,2020/4/22,1.38,70.48,879,51,7.74,0.17,61.19,20.57,2.6,0,18,3104056,864,52,18,370.24,1743,1101.4,103
